iter	Passed	Remaining
0	3	23570
1	7	21469
2	10	20779
3	13	20173
4	16	19978
5	19	19626
6	22	19472
7	25	19293
8	28	19102
9	31	18975
10	35	19058
11	38	18992
12	41	18919
13	44	18886
14	47	18860
15	50	18861
16	53	18915
17	56	18828
18	59	18856
19	62	18832
20	66	18845
21	69	18836
22	72	18796
23	75	18742
24	78	18756
25	81	18672
26	84	18665
27	87	18629
28	90	18612
29	93	18596
30	96	18602
31	99	18615
32	103	18627
33	106	18605
34	109	18585
35	112	18579
36	115	18551
37	118	18526
38	120	18490
39	123	18468
40	126	18442
41	129	18437
42	132	18412
43	135	18392
44	138	18393
45	142	18389
46	145	18385
47	148	18381
48	151	18356
49	154	18340
50	157	18313
51	159	18298
52	163	18292
53	166	18292
54	169	18313
55	172	18300
56	175	18286
57	178	18279
58	181	18268
59	184	18247
60	187	18228
61	190	18217
62	199	18754
63	202	18745
64	205	18729
65	208	18705
66	211	18696
67	214	18679
68	217	18665
69	220	18648
70	223	18626
71	225	18606
72	228	18590
73	231	18571
74	234	18559
75	237	18532
76	240	18514
77	243	18496
78	246	18476
79	249	18449
80	252	18436
81	255	18418
82	258	18405
83	261	18399
84	264	18377
85	267	18377
86	270	18363
87	273	18352
88	276	18342
89	279	18334
90	282	18315
91	284	18296
92	287	18280
93	290	18271
94	293	18261
95	296	18246
96	299	18235
97	302	18222
98	305	18204
99	308	18197
100	311	18181
101	314	18189
102	317	18189
103	320	18178
104	323	18171
105	326	18165
106	329	18153
107	332	18153
108	335	18137
109	338	18129
110	341	18116
111	344	18096
112	347	18083
113	350	18073
114	353	18064
115	355	18056
116	358	18043
117	361	18037
118	364	18029
119	367	18021
120	370	18015
121	373	18012
122	376	18003
123	379	17994
124	382	17986
125	385	17967
126	388	17954
127	391	17955
128	394	17938
129	397	17939
130	400	17935
131	403	17923
132	406	17914
133	408	17899
134	411	17893
135	414	17892
136	417	17888
137	421	17885
138	424	17878
139	426	17865
140	429	17853
141	432	17844
142	435	17833
143	438	17826
144	441	17819
145	444	17816
146	447	17808
147	450	17807
148	453	17806
149	456	17799
150	459	17792
151	462	17782
152	465	17777
153	468	17770
154	471	17764
155	474	17761
156	477	17756
157	479	17746
158	482	17735
159	485	17728
160	488	17730
161	491	17725
162	494	17720
163	497	17717
164	501	17719
165	503	17711
166	507	17714
167	513	17824
168	516	17813
169	519	17800
170	521	17790
171	524	17784
172	527	17775
173	530	17769
174	533	17762
175	536	17756
176	539	17750
177	542	17749
178	545	17742
179	548	17745
180	551	17745
181	555	17749
182	558	17748
183	561	17735
184	564	17733
185	567	17727
186	570	17720
187	573	17715
188	575	17709
189	578	17703
190	582	17703
191	585	17700
192	588	17695
193	591	17692
194	594	17693
195	597	17692
196	600	17688
197	603	17686
198	606	17676
199	609	17669
200	612	17660
201	615	17671
202	618	17664
203	621	17652
204	624	17647
205	627	17638
206	629	17627
207	632	17621
208	635	17614
209	638	17600
210	641	17592
211	644	17582
212	646	17577
213	649	17569
214	652	17561
215	655	17553
216	658	17549
217	661	17547
218	664	17547
219	667	17541
220	670	17539
221	673	17532
222	676	17529
223	679	17524
224	682	17515
225	685	17516
226	688	17517
227	691	17509
228	694	17503
229	697	17501
230	700	17494
231	703	17489
232	706	17483
233	709	17482
234	712	17476
235	715	17472
236	718	17467
237	721	17460
238	724	17454
239	727	17449
240	729	17443
241	732	17433
242	735	17426
243	738	17422
244	741	17411
245	744	17406
246	747	17402
247	750	17398
248	753	17396
249	756	17390
250	759	17390
251	762	17384
252	765	17378
253	767	17372
254	770	17368
255	773	17364
256	776	17359
257	779	17350
258	782	17342
259	785	17331
260	787	17323
261	790	17318
262	793	17312
263	796	17308
264	799	17305
265	802	17301
266	805	17295
267	808	17290
268	814	17356
269	817	17349
270	820	17340
271	823	17336
272	826	17333
273	829	17330
274	832	17326
275	835	17320
276	838	17315
277	841	17312
278	844	17306
279	846	17300
280	849	17296
281	852	17291
282	855	17285
283	858	17279
284	861	17273
285	864	17265
286	866	17257
287	869	17251
288	872	17249
289	875	17239
290	878	17235
291	881	17233
292	884	17225
293	887	17219
294	890	17212
295	892	17204
296	895	17195
297	898	17187
298	901	17181
299	904	17176
300	906	17171
301	910	17169
302	912	17163
303	915	17158
304	918	17150
305	921	17149
306	924	17145
307	927	17138
308	930	17129
309	932	17123
310	935	17118
311	938	17109
312	941	17105
313	944	17099
314	947	17093
315	950	17090
316	953	17085
317	956	17085
318	958	17076
319	961	17069
320	964	17063
321	967	17056
322	970	17056
323	973	17051
324	976	17045
325	978	17038
326	981	17034
327	985	17033
328	988	17031
329	990	17023
330	993	17014
331	996	17009
332	999	17002
333	1001	16994
334	1004	16989
335	1007	16986
336	1010	16980
337	1013	16971
338	1016	16966
339	1018	16959
340	1021	16956
341	1024	16948
342	1027	16938
343	1029	16931
344	1032	16924
345	1035	16917
346	1038	16913
347	1040	16905
348	1043	16899
349	1046	16894
350	1049	16888
351	1052	16880
352	1054	16872
353	1057	16867
354	1060	16863
355	1063	16859
356	1066	16851
357	1068	16844
358	1071	16837
359	1074	16828
360	1076	16822
361	1079	16814
362	1082	16808
363	1085	16800
364	1087	16792
365	1090	16786
366	1093	16777
367	1096	16775
368	1098	16770
369	1101	16766
370	1108	16815
371	1111	16809
372	1113	16803
373	1116	16800
374	1119	16791
375	1122	16784
376	1124	16776
377	1127	16772
378	1130	16768
379	1133	16762
380	1136	16756
381	1138	16749
382	1141	16744
383	1144	16739
384	1147	16733
385	1150	16725
386	1152	16721
387	1155	16716
388	1158	16709
389	1161	16704
390	1164	16700
391	1166	16694
392	1169	16685
393	1172	16682
394	1175	16679
395	1178	16674
396	1180	16666
397	1183	16659
398	1186	16653
399	1188	16645
400	1191	16639
401	1194	16635
402	1197	16628
403	1199	16619
404	1202	16614
405	1205	16607
406	1207	16599
407	1210	16595
408	1213	16589
409	1216	16583
410	1219	16579
411	1222	16574
412	1224	16569
413	1227	16564
414	1230	16559
415	1233	16554
416	1236	16548
417	1238	16544
418	1241	16539
419	1244	16534
420	1247	16526
421	1249	16521
422	1252	16514
423	1255	16512
424	1258	16506
425	1261	16501
426	1264	16497
427	1266	16493
428	1269	16485
429	1272	16480
430	1275	16477
431	1277	16461
432	1280	16457
433	1282	16453
434	1285	16448
435	1288	16440
436	1291	16434
437	1293	16427
438	1296	16423
439	1299	16420
440	1302	16418
441	1305	16412
442	1308	16408
443	1310	16401
444	1313	16396
445	1316	16393
446	1319	16389
447	1322	16383
448	1324	16378
449	1327	16373
450	1330	16368
451	1332	16361
452	1335	16355
453	1338	16352
454	1341	16348
455	1344	16345
456	1347	16338
457	1349	16333
458	1352	16327
459	1355	16323
460	1358	16318
461	1360	16311
462	1363	16306
463	1366	16300
464	1368	16294
465	1371	16290
466	1374	16281
467	1377	16278
468	1379	16273
469	1382	16268
470	1385	16260
471	1387	16254
472	1393	16280
473	1396	16279
474	1399	16273
475	1401	16266
476	1404	16262
477	1407	16260
478	1410	16256
479	1413	16252
480	1416	16249
481	1418	16244
482	1421	16242
483	1424	16236
484	1427	16228
485	1429	16222
486	1432	16218
487	1435	16213
488	1438	16208
489	1441	16205
490	1443	16200
491	1446	16195
492	1449	16189
493	1452	16186
494	1455	16181
495	1457	16174
496	1460	16168
497	1463	16164
498	1465	16158
499	1468	16153
500	1471	16148
501	1474	16146
502	1476	16141
503	1479	16135
504	1482	16131
505	1485	16128
506	1488	16123
507	1490	16118
508	1493	16113
509	1496	16110
510	1499	16106
511	1502	16100
512	1504	16097
513	1507	16094
514	1510	16089
515	1513	16083
516	1516	16080
517	1518	16075
518	1521	16070
519	1524	16064
520	1527	16060
521	1529	16054
522	1532	16049
523	1535	16043
524	1538	16039
525	1541	16036
526	1543	16032
527	1546	16029
528	1549	16026
529	1552	16023
530	1555	16020
531	1558	16018
532	1561	16019
533	1564	16019
534	1568	16021
535	1571	16023
536	1575	16024
537	1578	16029
538	1582	16030
539	1585	16031
540	1588	16033
541	1592	16036
542	1595	16038
543	1599	16041
544	1602	16042
545	1606	16044
546	1609	16046
547	1612	16047
548	1616	16047
549	1619	16051
550	1623	16052
551	1626	16054
552	1629	16054
553	1633	16055
554	1636	16054
555	1639	16054
556	1643	16055
557	1646	16054
558	1649	16057
559	1653	16059
560	1656	16058
561	1659	16060
562	1663	16060
563	1666	16060
564	1672	16088
565	1676	16097
566	1679	16094
567	1682	16094
568	1686	16093
569	1689	16095
570	1692	16095
571	1696	16094
572	1699	16092
573	1702	16090
574	1705	16087
575	1708	16086
576	1711	16089
577	1715	16088
578	1718	16088
579	1721	16085
580	1724	16084
581	1727	16086
582	1731	16086
583	1734	16083
584	1737	16085
585	1741	16085
586	1744	16083
587	1747	16082
588	1750	16079
589	1753	16078
590	1756	16077
591	1760	16079
592	1763	16076
593	1766	16077
594	1769	16075
595	1772	16073
596	1775	16072
597	1779	16073
598	1782	16072
599	1785	16070
600	1788	16066
601	1791	16066
602	1794	16064
603	1798	16065
604	1801	16064
605	1804	16062
606	1807	16063
607	1811	16061
608	1814	16060
609	1817	16057
610	1820	16054
611	1823	16052
612	1826	16050
613	1829	16048
614	1832	16047
615	1835	16044
616	1838	16043
617	1842	16041
618	1844	16036
619	1847	16033
620	1851	16034
621	1854	16032
622	1857	16028
623	1860	16025
624	1863	16024
625	1866	16020
626	1868	16016
627	1872	16015
628	1875	16012
629	1878	16008
630	1880	16004
631	1883	16000
632	1886	15998
633	1889	15995
634	1892	15990
635	1895	15986
636	1898	15982
637	1901	15979
638	1904	15976
639	1907	15972
640	1910	15968
641	1913	15966
642	1915	15961
643	1919	15960
644	1921	15956
645	1924	15952
646	1927	15949
647	1930	15944
648	1934	15947
649	1937	15944
650	1940	15941
651	1943	15937
652	1945	15934
653	1949	15933
654	1952	15932
655	1955	15930
656	1958	15926
657	1961	15922
658	1964	15920
659	1967	15918
660	1970	15916
661	1973	15911
662	1976	15908
663	1979	15905
664	1982	15900
665	1985	15904
666	1990	15911
667	1993	15910
668	1996	15906
669	1999	15906
670	2002	15901
671	2005	15897
672	2008	15894
673	2011	15891
674	2014	15888
675	2016	15883
676	2019	15878
677	2022	15874
678	2024	15868
679	2028	15866
680	2030	15861
681	2033	15857
682	2036	15855
683	2039	15849
684	2042	15846
685	2045	15842
686	2048	15838
687	2050	15835
688	2054	15832
689	2056	15829
690	2059	15826
691	2062	15821
692	2065	15819
693	2068	15815
694	2071	15811
695	2074	15807
696	2076	15802
697	2079	15797
698	2082	15792
699	2085	15789
700	2088	15784
701	2091	15784
702	2094	15781
703	2097	15775
704	2099	15771
705	2102	15767
706	2105	15762
707	2108	15757
708	2110	15752
709	2113	15749
710	2116	15745
711	2119	15740
712	2122	15737
713	2125	15734
714	2128	15729
715	2130	15724
716	2133	15720
717	2136	15717
718	2139	15712
719	2141	15706
720	2144	15701
721	2147	15696
722	2150	15692
723	2152	15688
724	2155	15682
725	2158	15676
726	2160	15671
727	2163	15666
728	2166	15662
729	2168	15657
730	2171	15652
731	2174	15646
732	2176	15640
733	2179	15634
734	2181	15629
735	2184	15624
736	2187	15619
737	2190	15616
738	2193	15613
739	2195	15608
740	2198	15602
741	2201	15597
742	2203	15592
743	2206	15586
744	2209	15584
745	2211	15578
746	2214	15572
747	2217	15570
748	2220	15564
749	2222	15560
750	2225	15555
751	2228	15549
752	2231	15547
753	2233	15541
754	2236	15536
755	2239	15531
756	2241	15526
757	2244	15523
758	2247	15520
759	2250	15516
760	2253	15511
761	2255	15506
762	2258	15501
763	2261	15496
764	2263	15491
765	2266	15487
766	2269	15481
767	2271	15477
768	2274	15474
769	2277	15471
770	2280	15469
771	2283	15463
772	2287	15465
773	2290	15466
774	2293	15464
775	2296	15459
776	2299	15453
777	2301	15450
778	2304	15444
779	2306	15438
780	2309	15432
781	2312	15428
782	2314	15424
783	2317	15419
784	2320	15414
785	2323	15410
786	2325	15406
787	2328	15401
788	2331	15395
789	2333	15390
790	2336	15386
791	2339	15383
792	2342	15378
793	2344	15372
794	2347	15366
795	2349	15362
796	2352	15356
797	2355	15352
798	2357	15347
799	2360	15342
800	2362	15336
801	2365	15333
802	2368	15327
803	2371	15323
804	2373	15320
805	2376	15315
806	2379	15309
807	2381	15306
808	2384	15301
809	2387	15296
810	2389	15291
811	2392	15287
812	2395	15283
813	2398	15278
814	2400	15274
815	2403	15270
816	2406	15266
817	2409	15262
818	2411	15257
819	2414	15252
820	2416	15246
821	2419	15243
822	2422	15239
823	2425	15234
824	2428	15231
825	2430	15227
826	2433	15221
827	2435	15215
828	2438	15212
829	2441	15209
830	2444	15204
831	2446	15198
832	2449	15193
833	2452	15190
834	2454	15185
835	2457	15182
836	2460	15177
837	2463	15173
838	2466	15170
839	2468	15165
840	2471	15160
841	2474	15156
842	2476	15151
843	2479	15145
844	2482	15142
845	2484	15136
846	2487	15133
847	2490	15128
848	2492	15123
849	2495	15118
850	2497	15113
851	2500	15109
852	2503	15103
853	2505	15098
854	2508	15095
855	2511	15092
856	2514	15088
857	2516	15084
858	2519	15080
859	2522	15075
860	2524	15070
861	2527	15064
862	2529	15059
863	2532	15056
864	2535	15052
865	2538	15047
866	2540	15042
867	2543	15038
868	2546	15033
869	2549	15031
870	2551	15026
871	2554	15020
872	2557	15017
873	2563	15033
874	2567	15036
875	2569	15032
876	2572	15027
877	2575	15022
878	2577	15016
879	2580	15011
880	2582	15007
881	2585	15002
882	2588	14999
883	2590	14994
884	2593	14990
885	2596	14985
886	2598	14980
887	2601	14976
888	2604	14972
889	2607	14968
890	2609	14963
891	2612	14959
892	2614	14954
893	2617	14950
894	2620	14946
895	2623	14942
896	2625	14937
897	2628	14933
898	2631	14929
899	2633	14924
900	2636	14921
901	2639	14919
902	2642	14913
903	2644	14909
904	2647	14904
905	2650	14900
906	2653	14897
907	2655	14893
908	2658	14889
909	2661	14886
910	2664	14882
911	2666	14877
912	2669	14874
913	2672	14870
914	2675	14866
915	2678	14863
916	2680	14858
917	2683	14853
918	2685	14848
919	2688	14844
920	2691	14841
921	2694	14837
922	2696	14833
923	2699	14829
924	2701	14823
925	2704	14819
926	2707	14815
927	2709	14810
928	2712	14806
929	2715	14802
930	2717	14798
931	2720	14793
932	2723	14789
933	2725	14785
934	2728	14780
935	2731	14776
936	2734	14773
937	2736	14768
938	2739	14764
939	2741	14759
940	2744	14756
941	2747	14752
942	2750	14748
943	2752	14743
944	2755	14739
945	2758	14734
946	2760	14730
947	2763	14727
948	2766	14723
949	2769	14719
950	2771	14716
951	2774	14713
952	2777	14709
953	2780	14705
954	2782	14701
955	2785	14696
956	2788	14693
957	2791	14690
958	2794	14687
959	2796	14682
960	2799	14677
961	2801	14673
962	2804	14670
963	2807	14664
964	2809	14661
965	2812	14657
966	2815	14653
967	2818	14649
968	2820	14645
969	2823	14642
970	2826	14640
971	2829	14638
972	2832	14633
973	2839	14650
974	2842	14648
975	2845	14645
976	2848	14642
977	2850	14639
978	2853	14635
979	2856	14631
